Num_Inscripcion;Razon_Social;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;Distrito;CIF;Fecha_Registro;Fecha_IPM;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Socios;NumInscripcion_Fed_Vinculada;RazonSocial_Fed_Vinculada;FX_Carga
"929";"ASOCIACION DE AMAS DE CASA NUEVA ESPERANZA";"CALLE";"CALANDA";"17";"C/V C/ UTRILLAS, 14";"28043";"MADRID";"CANILLAS";"HORTALEZA";"G79178281";"1993-07-09";"1996-09-27";"913000306";"bailameporalegrias@gmail.com";"";"DE MUJERES";"BARRIO";"231";"67";"FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM";"2025-12-31 04:15:15.2"
"932";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO PUBLICO HERNAN CORTES";"CALLE";"LOS YEBENES";"241";" ";"28047";"MADRID";"ALUCHE";"LATINA";"G79620597";"1993-10-15";"1995-07-28";"627937353";" hernancortes_ampa@hotmail.com";"http://ceipbilinghernancortes.blogspot.com.es/";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"125";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"934";"ASOCIACION DE PADRES DE ALUMNOS DEL COLEGIO LA PRESENTACION";"CALLE";"LARDERO";"";"14";"28032";"MADRID                                            ";"AMBROZ              ";"VICALVARO";"G80306376";"1993-10-06";"1994-11-25";"917764323";"ampapresentacion@gmail.com";"https://www.ampapresentacion.miampa.com";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"459";"775";"FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA";"2025-12-31 04:15:15.2"
"937";"ASOCIACION DE PADRES DE ALUMNOS NUESTRA SEÑORA DE LAS VICTORIAS - AFANIAS";"CALLE";"MULLER";"25";"BJ-PTA.1";"28039";"MADRID";"VALDEACEDERAS";"TETUAN";"G80144595";"1993-10-25";"1994-09-28";"670735217";"ampansvictorias@gmail.com";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"31";"975";"PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID";"2025-12-31 04:15:15.2"
"939";"ASOCIACION DE JUBILADOS Y PENSIONISTAS DEL MAR DE MADRID";"CALLE";"ZURBANO";"73";"PLANTA BAJA";"28010";"MADRID";"ALMAGRO";"CHAMBERI";"G78487303";"1993-11-11";"1994-07-28";"915223658";"sociocultu@yahoo.es";"";"DE PERSONAS MAYORES, JUBILADAS Y PENSIONISTAS";"MUNICIPIO";"71";" ";" ";"2025-12-31 04:15:15.2"
"940";"ASOCIACION CULTURAL ZAZUAR";"CALLE";"CASTRILLO DE AZA";"13";"ESC. CENTRO 4ºD";"28031";"MADRID";"SANTA EUGENIA";"VILLA VALLECAS";"G80539026";"1993-07-02";"1996-01-31";"913312652";"asoculzazu@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"COMUNIDAD DE MADRID";"85";" ";" ";"2025-12-31 04:15:15.2"
"942";"ASOCIACION DE MADRES Y PADRES DEL COLEGIO NUESTRA SEÑORA DE LA PALOMA";"CALLE";"TABERNILLAS";"2";"";"28005";"MADRID";"PALACIO";"CENTRO";"G80137250";"1993-11-05";"1994-09-28";"912219689";"ampaloma@gmail.com";"http://www.afalapaloma.com";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"221";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"946";"ASOCIACION DE LA JUVENTUD DE USERA";"AVENIDA";"RAFAELA YBARRA";"30";"BJ.";"28026";"MADRID";"ZOFIO";"USERA";"G81447393";"1994-01-11";"1994-07-28";"914694771";"";"";"JUVENILES";"DISTRITO";"180";" ";" ";"2025-12-31 04:15:15.2"
"949";"ASOCIACION DE VECINOS DE LA COLONIA DIEGO VELAZQUEZ";"PLAZA";"LAS MENINAS";"2";"BJ. C";"28025";"MADRID";"ABRANTES";"CARABANCHEL";"G28275758";"1993-11-02";"1995-07-28";"915609935";"";"";"VECINALES";"BARRIO";"1200";"67";"FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM";"2025-12-31 04:15:15.2"
"950";"ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO LA RIOJA";"CALLE";"LEON FELIPE";"3";"";"28038";"MADRID";"PALOMERAS SURESTE";"PUENTE VALLECAS";"G79270948";"1993-12-17";"1999-05-24";"917773912";"ampa.larioja@gmail.com";"";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"121";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"955";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS CULTURA Y DEMOCRACIA COLEGIO DE EDUCACION INFANTIL Y PRIMARIA JORGE GUILLEN";"AVENIDA";"EL FERROL";"47";" ";"28029";"MADRID";"EL PILAR";"FUENCARRAL-EL PARDO";"G81146870";"1994-02-21";"2006-03-24";"696583895";"ampajorgeguillen.2009@gmail.com";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"30";" ";" ";"2025-12-31 04:15:15.2"
"957";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS DEL COLEGIO SAGRADOS CORAZONES";"CALLE";"PAN Y TOROS";"45";" ";"28041";"MADRID";"LOS ANGELES";"VILLAVERDE";"G80020407";"1994-02-18";"1995-07-28";"913172526";"ampa@sagradocorazonmadrid.es ";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"96";"775";"FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA";"2025-12-31 04:15:15.2"
"959";"ASOCIACION DE VECINOS HISPANOAMERICA";"CALLE";"POTOSI";"8";"5º A";"28016";"MADRID";"HISPANOAMERICA";"CHAMARTIN";"G80723323";"1994-03-22";"2004-10-15";"669299360";"info@metodosysistemas.com";"";"VECINALES";"MUNICIPIO";"95";" ";" ";"2025-12-31 04:15:15.2"
"961";"ASOCIACION JAIRE";"CALLE";"CANILLAS";"64";"";"28002";"MADRID";"PROSPERIDAD";"CHAMARTIN";"G80618036";"1994-02-07";"2010-08-30";"915191260";"asocjaire@yahoo.es";"http://www.jaire.es";"JUVENILES";"MUNICIPIO";"93";"1565";"FEDERACION INJUCAM PARA LA PROMOCION DE LA INFANCIA Y LA JUVENTUD";"2025-12-31 04:15:15.2"
"962";"ASOCIACION CULTURAL Y DEPORTIVA ACUDE - SAN MIGUEL";"CALLE";"JACINTO VERDAGUER";"34";" ";"28019";"MADRID";"OPAÑEL";"CARABANCHEL";"G80879901";"1994-03-01";"1996-04-26";"646583487";"dalonsourbano@gmail.com";"http://www.acudecarabanchel.com	 ";"DEPORTIVAS";"BARRIO";"41";" ";" ";"2025-12-31 04:15:15.2"
"966";"CIRCULO CONVIVENCIAL LIMITE - CIRVITE";"CALLE";"ESPARTA";"19";" ";"28022";"MADRID";"CANILLEJAS";"SAN BLAS-CANILLEJAS";"G28870558";"1994-04-29";"1995-03-31";"913249293";"info@cirvite.org";"http://www.cirvite.org";"OTRAS DE ACCION SOCIAL";"ESTATAL";"88";"975";"PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID";"2025-12-31 04:15:15.2"
"968";"ASOCIACION DE MADRES Y PADRES DEL CONSERVATORIO PROFESIONAL DE MUSICA 'TERESA BERGANZA'";"CALLE";"PALMIPEDO";"3";" ";"28047";"MADRID";"LUCERO";"LATINA";"G80763659";"1994-04-13";"1995-07-28";"915265176";"secretaria@conservatorioteresaberganza.com";"http://www.conservatorioteresaberganza.com.es";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"36";" ";" ";"2025-12-31 04:15:15.2"
"970";"ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO ROSA LUXEMBURGO";"CALLE";"BARDEGUERAL";"16";"18";"28023";"MADRID";"ARAVACA";"MONCLOA-ARAVACA";"G79794244";"1994-02-01";"1995-07-28";"650021740";"amparosaluxemburgo@gmail.com";"http://aparosaluxemburgo.org";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"268";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"971";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS  DEL INSTITUTO DE EDUCACION SECUNDARIA SANTA EUGENIA";"CALLE";"CERRO ALMODOVAR";"5";"";"28031";"MADRID";"SANTA EUGENIA";"VILLA VALLECAS";"G80182819";"1994-03-02";"1995-03-31";"655691162";"info@ampaiessantaeugenia.es";"http://ampaiessantaeugenia.es";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"48";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"973";"ASOCIACION ALBAR 42";"CALLE";"MURO";"9";"BAJO B";"28042";"MADRID";"TIMON";"BARAJAS";"G83988576";"1994-04-21";"1995-02-24";"629455581";"asociacionalbar42@hotmail.com";"";"CULTURALES Y CASAS REGIONALES";"COMUNIDAD DE MADRID";"44";" ";" ";"2025-12-31 04:15:15.2"
"974";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS ESCUELA INFANTIL LA JARA";"CALLE";"HIJAS DE JESUS";"30";" ";"28026";"MADRID";"ALMENDRALES";"USERA";"G80307267";"1994-03-29";"1996-03-29";"914769480";"ampa.lajara.usera@gmail.com";"http://ampalajarausera.blogspot.com";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"90";" ";" ";"2025-12-31 04:15:15.2"
"981";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO DE EDUCACION INFANTIL Y PRIMARIA CUBA";"CALLE";"TEMBLEQUE";"58";" ";"28024";"MADRID";"ALUCHE";"LATINA";"G80428774";"1994-06-02";"1995-03-31";"617296198";"ampaceipcuba.aluche@gmail.com";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"24";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"984";"AGRUPACION CORAL FERNANDO DE LOS RIOS";"CALLE";"MARQUES DE JURA REAL";"26";"PISO 1º";"28019";"MADRID";"COMILLAS";"CARABANCHEL";"G78680410";"1994-06-28";;"661301535";"coralfdrios@hotmail.com";"http://www.coralfernandodelosrios.org";"CULTURALES Y CASAS REGIONALES";"ESTATAL";"43";" ";" ";"2025-12-31 04:15:15.2"
"988";"CENTRO ENCUENTRO Y FORMACION OPAÑEL";"PLAZA";"CANTORIA";"2";"BAJO IZQ.";"28019";"MADRID";"OPAÑEL";"CARABANCHEL";"G80589229";"1994-07-08";;"914729540";"amo@amo.org.es";"";"DE MUJERES";"BARRIO";"117";" ";" ";"2025-12-31 04:15:15.2"
"990";"ASOCIACION CULTURAL RECREATIVA ESCUELA FUTBOL CARABANCHEL";"PLAZA";"LAS MENINAS";"2";" ";"28025";"MADRID";"ABRANTES";"CARABANCHEL";"G80035066";"1994-07-22";"1998-04-30";"914699538";" ";"http://www.escuelafutbolcarabanchel.com";"CULTURALES Y CASAS REGIONALES";"DISTRITO";"723";" ";" ";"2025-12-31 04:15:15.2"
"993";"ASOCIACION MUJERES LAS AGUILAS";"CALLE";"BLAS CABRERA";"125";"1º";"28044";"MADRID";"LAS AGUILAS";"LATINA";"G80286297";"1994-09-26";"1995-03-31";"917050388";"amlaguilas@hotmail.com";"";"DE MUJERES";"DISTRITO";"328";" ";" ";"2025-12-31 04:15:15.2"
"995";"ASOCIACION DE VECINOS DE EL PLANTIO DISTRITO MONCLOA";"CALLE";"RAFAEL VILLA";"78 D";"PISO 2, LETRA D";"28023";"MADRID";"EL PLANTIO";"MONCLOA-ARAVACA";"G80907520";"1994-11-07";"2007-05-28";"650543532";"vecindarioelplantio@gmail.com";"";"VECINALES";"MUNICIPIO";"271";" ";" ";"2025-12-31 04:15:15.2"
"997";"ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO DANIEL VAZQUEZ DIAZ";"CALLE";"ARMENTEROS";"46";"";"28039";"MADRID";"VALDEZARZA";"MONCLOA-ARAVACA";"G28576478";"1994-09-28";"1995-07-28";"600517703";"ampacolegiodvd@gmail.com";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"100";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"998";"ASOCIACION CULTURAL ATENEA";"PLAZA";"VIRGEN DE LOS LLANOS";"3";"Y 4";"28044";"MADRID";"LAS AGUILAS";"LATINA";"G79675617";"1994-10-11";"1995-04-28";"917051020";"";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"625";" ";" ";"2025-12-31 04:15:15.2"
"999";"ONDA MERLIN COMUNITARIA-RADIO SURESTE";"CALLE";"DIAMANTE";"22";"";"28021";"MADRID";"LOS ROSALES";"VILLAVERDE";"G79092722";"1994-10-14";"1995-04-28";"649857547";"ADMINISTRACION@OMCRADIO.ORG";"http://www.omcradio.org";"DE COMUNICACION";"MUNICIPIO";"142";"2052";"UNION DE RADIOS LIBRES Y COMUNITARIAS DE MADRID";"2025-12-31 04:15:15.2"
"1008";"ASOCIACION LA FRONTERA SOCIAL";"PLAZA";"TUBILLA";"7";"POSTERIOR. LOCAL";"28034";"MADRID";"VALVERDE";"FUENCARRAL-EL PARDO";"G78890142";"1995-01-27";"1995-07-28";"910642219";"info@asociacionlafrontera.org";"http://www.asociacionlafrontera.org";"OTRAS DE ACCION SOCIAL";"MUNICIPIO";"6";" ";" ";"2025-12-31 04:15:15.2"
"1010";"ASOCIACION AMAS DE CASA CONSUMIDORES-USUARIOS DE VILLA VALLECAS";"CALLE";"NUESTRA SEÑORA DE LA TORRE";"2";"BAJO B";"28031";"MADRID";"CASCO H.VALLECAS";"VILLA VALLECAS";"G80920697";"1995-01-27";"1995-09-25";"913037006";"asoc.amasdecasavallecasvilla@gmail.com";"";"DE MUJERES";"BARRIO";"100";" ";" ";"2025-12-31 04:15:15.2"
"1011";"ASOCIACION DE PADRES DE ALUMNOS DEL COLEGIO PUBLICO BLAS DE OTERO";"CALLE";"PUENTELARRA";"34";"S/N";"28031";"MADRID";"SANTA EUGENIA       ";"VILLA VALLECAS";"G81408353";"1995-01-23";"1996-02-23";"697247343";"ampaceipblasdeotero@gmail.com";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"48";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"1014";"ASOCIACION JUVENIL E INFANTIL VIRGEN DE ATOCHA";"AVENIDA";"CIUDAD DE BARCELONA";"1";" ";"28007";"MADRID";"PACIFICO";"RETIRO";"G80723224";"1995-02-10";"1995-07-28";"685529997";"ajiva1993@gmail.com";"http://www.ajiva.org";"JUVENILES";"MUNICIPIO";"256";"775";"FEDERACION CATOLICA  DE ASOCIACIONES DE PADRES DE FAMILIA Y PADRES DE ALUMNOS DE MADRID - FECAPA";"2025-12-31 04:15:15.2"
"1015";"AGRUPACION CORAL EL CAPRICHO";"CALLE";"ANTONIO SANCHA";"11";"(IES ALAMEDA DE OSUNA)";"28042";"MADRID";"ALAMEDA DE OSUNA";"BARAJAS";"G78772399";"1995-01-31";"2006-03-10";"639258302";"coralelcapricho@gmail.com";"http://www.coralescapricho.com";"CULTURALES Y CASAS REGIONALES";"MUNICIPIO";"32";" ";" ";"2025-12-31 04:15:15.2"
"1017";"ASOCIACION DE PADRES DE ALUMNOS COLEGIO PUBLICO ARAGON";"AVENIDA";"RAFAEL ALBERTI";"2";" ";"28038";"MADRID";"PALOMERAS SURESTE";"PUENTE VALLECAS";"G80215015";"1995-03-17";;"913039852";"";"";"DE MADRES Y PADRES DEL ALUMNADO";"COMUNIDAD DE MADRID";"14";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"1019";"ASOCIACION HERMANDAD NUESTRA SEÑORA DEL ROCIO MADRID MORATALAZ";"CALLE";"PICO DE LOS ARTILLEROS";"82";" ";"28030";"MADRID";"VINATEROS";"MORATALAZ";"R7800833A";"1995-03-23";;"917511511";"hermandadrociomoratalazoficial@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"DISTRITO";"150";" ";" ";"2025-12-31 04:15:15.2"
"1020";"ASOCIACION DE PADRES POR INTEGRACION SAN FEDERICO";"CALLE";"ISLA DE LONG";"2";" ";"28039";"MADRID                                            ";"VALDEZARZA          ";"MONCLOA-ARAVACA";"G81102279";"1995-03-27";"1995-10-27";"914503231";"sanfederico@telefonica.net";"";"OTRAS DE ACCION SOCIAL";"MUNICIPIO";"87";"975";"PLENA INCLUSION MADRID. ORGANIZACION DE ENTIDADES EN FAVOR DE PERSONAS CON DISCAPACIDAD INTELECTUAL DE MADRID";"2025-12-31 04:15:15.2"
"1022";"ASOCIACION DE PADRES DE ALUMNOS DEL COLEGIO RETIRO";"CALLE";"POETA ESTEBAN DE VILLEGAS";"0";"S/N";"28014";"MADRID                                            ";"LOS JERONIMOS       ";"RETIRO";"G79518429";"1995-02-06";"2001-11-22";"664412758";"ampa.retiro@gmail.com";"https://amparetiro.org/";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"165";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"1025";"ASOCIACION DE PADRES DE ALUMNOS DEL COLEGIO PUBLICO LOS ROSALES VILLAVERDE BAJO";"AVENIDA";"LOS ROSALES";"131";"";"28021";"MADRID";"BUTARQUE";"VILLAVERDE";"V28864924";"1995-03-31";"2004-10-11";"637252568";"apalosrosalesvillaverde@gmail.com";"https://ampalosrosalesvillaverde.com/";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"140";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"1026";"AGRUPACION DEPORTIVA Y CULTURAL NUEVA CASTILLA";"AVENIDA";"LA GAVIA";"5";"";"28051";"MADRID";"ENSANCHE DE VALLECAS";"VILLA VALLECAS";"G80171366";"1995-03-24";"1995-10-27";"650226883";"adc_nuevacastilla@colegionuevacastilla.es";"http://www.colegionuevacastilla.com	 ";"DEPORTIVAS";"MUNICIPIO";"370";" ";" ";"2025-12-31 04:15:15.2"
"1029";"ASOCIACION CENTRO DE CULTURA ROSALIA TENA";"CALLE";"ILLESCAS";"57";"BAJO";"28024";"MADRID";"ALUCHE";"LATINA";"V79395125";"1995-04-04";"1995-11-30";"609385487";"asociacionrosaliatena@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"112";" ";" ";"2025-12-31 04:15:15.2"
"1033";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO DE EDUCACION INFANTIL Y PRIMARIA JUAN SEBASTIAN ELCANO";"CALLE";"MIRASIERRA";"29";"";"28026";"MADRID";"MOSCARDO";"USERA";"G80134927";"1995-04-17";"1995-12-22";"641162588";"afajuansebastianelcano@gmail.com";"";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"227";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"1037";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS DEL INSTITUTO DE EDUCACION SECUNDARIA LAS MUSAS";"TRAVESIA";"CARLOS II";"";"S/N";"28022";"MADRID                                            ";"ROSAS               ";"SAN BLAS-CANILLEJAS";"G79720769";"1995-05-11";;"913069247";"ampaieslasmusas@gmail.com";"ampaieslasmusas. blogspot.com";"DE MADRES Y PADRES DEL ALUMNADO";"BARRIO";"351";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"1038";"ASOCIACION DE MADRES Y PADRES DE ALUMNOS COLEGIO PUBLICO JAVIER DE MIGUEL";"CALLE";"PUERTO DE VIÑAMALA";"11";" ";"28018";"MADRID";"PALOMERAS BAJAS";"PUENTE VALLECAS";"G28874147";"1995-05-25";"1996-05-30";"678563436";"ampajavierdemiguel@yahoo.es";"http://www.ampajavierdemiguel.com";"DE MADRES Y PADRES DEL ALUMNADO";"MUNICIPIO";"95";"407";"FEDERACION DE LA COMUNIDAD DE MADRID DE ASOCIACIONES DE PADRES Y MADRES DEL ALUMNADO 'FRANCISCO GINER DE LOS RIOS' - FAPA";"2025-12-31 04:15:15.2"
"1040";"ASOCIACION DE VECINOS DE VALDECONEJOS-PUERTA HIERRO";"CALLE";"ISLA DE NELSON";"3";"";"28035";"MADRID";"VALDEZARZA";"MONCLOA-ARAVACA";"G81186728";"1995-05-23";"1996-05-30";"913736993";"serrano2012@yahoo.es";"http://www.valdeconejos-puertadehierro.es";"VECINALES";"BARRIO";"128";"67";"FEDERACION REGIONAL DE ASOCIACIONES VECINALES DE MADRID - FRAVM";"2025-12-31 04:15:15.2"
