Num_Inscripcion;Denominacion;Tipo_Via;Calle;Numero;Aproximacion;Cod_Postal;Poblacion;Barrio;Fecha_Registro;Primer_Tlfn;Email;Internet;Categoria;Ambito;Num_Personas;Fecha_IPM;FX_Carga
"3872";"PLATAFORMA CIUDADANA DE BARES ESPECIALES MUSICALES (BEM)";"CALLE";"CHURRUCA";"3";"2º DERECHA";"28004";"MADRID";"JUSTICIA";"2021-01-25";"676825180";"PLATAFORMABEM@GMAIL.COM";"";"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTONOMOS";"MUNICIPIO";"12";;"2025-12-31 04:15:18.39"
"3895";"COLECTIVO CIUDADANO ESCALADA CUÑA VERDE";"CALLE";"VICENTE CAMARON";"41";"3º - C";"28011";"MADRID";"PUERTA DEL ANGEL";"2021-02-11";"630722053";"enriquemf06@hotmail.com";"";"DEPORTIVAS";"BARRIO";"28";;"2025-12-31 04:15:18.39"
"3917";"EL HILO VERDE";"CALLE";"PUERTO DE MASPALOMAS";"20";"";"28029";"MADRID";"EL PILAR";"2021-04-23";"666080506";"pablolinaresgomezdelcastillo@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"3";;"2025-12-31 04:15:18.39"
"3936";"PLATAFORMA DE AFECTADOS DE OCUPACION, LEYANTIOCUPAS";"CALLE";"HACHERO";"50";"2º-D";"28053";"MADRID";"SAN DIEGO";"2021-06-09";"678981325";"leyantiocupas@gmail.com";"http://www.leyantiocupas.com";"OTRAS DE ACCION SOCIAL";"ESTATAL";"10";;"2025-12-31 04:15:18.39"
"3979";"RITMONIA";"CALLE";"OMEGA";"93";"PISO 4º, PUERTA D";"28032";"MADRID";"VALDERRIVAS         ";"2021-08-04";"630729469";"enrique.cano2@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"4";;"2025-12-31 04:15:18.39"
"3980";"AFECTADOS POR EL PLAN URBANISTICO COLONIA TERCIO TEROL";"CALLE";"GORRION";"7";"";"28019";"MADRID";"SAN ISIDRO";"2021-08-04";"666681468";"coloniatercioterol@gmail.com";"";"VECINALES";"BARRIO";"11";;"2025-12-31 04:15:18.39"
"3987";"RONDALLA Y CORO EL MADROÑO";"CALLE";"SAN EUDALDO";"14";"2º- E ";"28032";"MADRID";"CASCO H.VICALVARO   ";"2021-09-15";"917764109";"felix.jimeno@yahoo.es";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"3";;"2025-12-31 04:15:18.39"
"3988";"CORO ROCIERO AIRES DE MADRID ";"AVENIDA";"GUADALAJARA";"111";"PORTAL G, PISO 5º, PUERTA A";"28022";"MADRID";"ROSAS";"2021-09-15";"635021291";"LARELLANOL@HOTMAIL.COM";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"16";;"2025-12-31 04:15:18.39"
"3990";"GRUPO VALDETEATRO";"CALLE";"MERCURIO";"6";"BAJO";"28032";"MADRID";"CASCO H.VICALVARO";"2021-09-15";"649214685";"agsalas@pharmamar.com";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"4";;"2025-12-31 04:15:18.39"
"4000";"CORAL POLIFONICA LOS MADROÑOS DE VICALVARO";"CALLE";"VILLARDONDIEGO";"36";"CENTRO CULTURAL EL MADROÑO";"28032";"MADRID";"CASCO H.VICALVARO";"2021-09-27";"";"anamariacoral88@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"3";;"2025-12-31 04:15:18.39"
"4005";"PLATAFORMA POR LA DIGNIDAD, LA LIBERTAD Y LA VIDA";"CALLE";"VIRTUDES";"20";"BAJO NUMERO 5";"28010";"MADRID";"ALMAGRO";"2021-10-05";"667330345";"plataforma.cultural.n@gmail.com";"";"DE PERSONAS CONSUMIDORAS Y USUARIAS";"ESTATAL";"30";;"2025-12-31 04:15:18.39"
"4006";"PLATAFORMA EL PUEBLO POR LA VERDAD";"CALLE";"VIRTUDES";"20";"PISO BAJO,NUMERO 5";"28010";"MADRID";"ALMAGRO";"2021-10-05";"667330345";"africa.ruiz10@gmail.com";"";"VECINALES";"ESTATAL";"70";;"2025-12-31 04:15:18.39"
"4030";"ENTRETEJIENDO";"CALLE";"LOS GALEOTE";"1";"ESCALERA 1, PLANTA 3ª, PUERTA A";"28032";"MADRID";"CASCO H.VICALVARO";"2021-12-02";"619837020";"antoniadomingobermejo@gmail.com";"";"DE MUJERES";"BARRIO";"3";;"2025-12-31 04:15:18.39"
"4031";"GRUPO BRISA FLAMENCA";"CALLE";"PINILLAS";"5";"PISO 4ª, LETRA B";"28032";"MADRID";"VALDEBERNARDO       ";"2021-12-02";"686433907";"brisaroci@gmail.com";"";"CULTURALES Y CASAS REGIONALES";"DISTRITO";"3";;"2025-12-31 04:15:18.39"
"4035";"PARROQUIA SANTA CECILIA";"CALLE";"MEDINA DE POMAR";"11";"";"28042";"MADRID";"AEROPUERTO";"2021-12-14";"628054417";"macaes000@gmail.com";"";"VECINALES";"BARRIO";"96";;"2025-12-31 04:15:18.39"
"4036";"ASOCIACION DE EMPRESAS PRODUCTORAS DE ARTES ESCENICAS DE LA COMUNIDAD DE MADRID (ARTEMAD)";"CALLE";"MAYOR";"6";"5- 5 BIS";"28013";"MADRID";"SOL";"2021-12-14";"915212164";"secretaria@artemad.com";"";"CULTURALES Y CASAS REGIONALES";"BARRIO";"38";;"2025-12-31 04:15:18.39"
"4039";"ORGANIZACION NACIONAL DE CIEGOS ESPAÑOLES";"CALLE";"JOSE ORTEGA Y GASSET";"18";"";"28006";"MADRID";"CASTELLANA";"2021-12-15";"915329774";"ctmadrid@once.es";"www.once.es";"DE PERSONAS CON DISCAPACIDAD";"BARRIO";"6090";"2022-06-09";"2025-12-31 04:15:18.39"
"4045";"ASOCIACION  ESPAÑOLA DE EMPRESAS DE MENSAJERIA";"AVENIDA";"GENERAL PERON";"25";"PLANTA 8ª, PUERTA E";"28020";"MADRID";"CUATRO CAMINOS";"2022-01-25";"915567685";"aem@aem-aem.es";"";"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTONOMOS";"ESTATAL";"69";;"2025-12-31 04:15:18.39"
"4046";"ASOCIACION DE PRODUCTORES Y TEATROS DE MADRID -APTEM";"CALLE";"JUAN BRAVO";"20";"PISO 1º- IZQUIERDA (ENTREPLANTA)";"28006";"MADRID";"CASTELLANA";"2022-01-25";"914352068";"info@aptem.es";"www.aptem.es";"CULTURALES Y CASAS REGIONALES";"COMUNIDAD DE MADRID";"28";;"2025-12-31 04:15:18.39"
"4065";"UNION DE ACTORES Y ACTRICES";"CALLE";"GRAN VIA";"62";"PLANTA 3ª, PUERTA IZQUIERDA";"28013";"MADRID";"UNIVERSIDAD";"2022-01-24";"608451253";"finanzas@uniondeactores.com";"";"CULTURALES Y CASAS REGIONALES";"ESTATAL";"2510";;"2025-12-31 04:15:18.39"
"4069";"PLATAFORMA CULTURAL-Ñ";"CALLE";"VIRTUDES";"20";"PLANTA BAJA, PUERTA 5";"28010";"MADRID";"ALMAGRO";"2022-02-02";"667330345";"africa.ruiz10@gmail.com";"";"VECINALES";"BARRIO";"7";;"2025-12-31 04:15:18.39"
"4071";"ASOCIACION DE EMPRESARIAS Y EMPRESARIOS DEL COMERCIO DEL LIBRO DE MADRID ";"CALLE";"SANTIAGO RUSIÑOL";"8";"";"28040";"MADRID";"CIUDAD UNIVERSITARIA";"2022-02-07";"915338836";"info@libreriasdemadrid.es";"www.libreriasdemadrid.es";"CULTURALES Y CASAS REGIONALES";"MUNICIPIO";"134";;"2025-12-31 04:15:18.39"
"4080";"ORGANIZACION SINDICAL DE ACCION DIRECTA";"CALLE";"RAFAEL SALAZAR ALONSO";"7";"LOCAL PUERTA IZQUIERDA";"28007";"MADRID";"ESTRELLA";"2022-02-18";"722735984";"organizacion@osad.es";"www.osad.es";"OTRAS DE ACCION SOCIAL";"ESTATAL";"260";;"2025-12-31 04:15:18.39"
"4082";"REDES. S. COOP. MAD.";"CALLE";"CARRERO JUAN RAMON";"4";"PLANTA BAJA";"28025";"MADRID";"ABRANTES";"2022-02-23";"914624986";"redes@redes.coop";"";"FAMILIAS";"DISTRITO";"4";"2024-05-29";"2025-12-31 04:15:18.39"
"4095";"FEDERACION PROFESIONAL DEL TAXI DE MADRID";"CALLE";"PAYASO FOFO";"24";"";"28018";"MADRID";"PALOMERAS BAJAS";"2022-03-17";"914777021";"JULIOSANZ@FPTAXIMADRID.ES";"www.fptaximadrid.es";"COMERCIANTES,EMPRESARIOS,PROFESIONALES Y AUTONOMOS";"COMUNIDAD DE MADRID";"4644";;"2025-12-31 04:15:18.39"
"4098";"PARROQUIA NUESTRA SEÑORA DE LORETO";"CALLE";"ALAS";"21";"";"28042";"MADRID";"TIMON";"2022-03-17";"618175840";"antoniomotriloar@hotmail.com";"";"OTRAS DE ACCION SOCIAL";"BARRIO";"4";;"2025-12-31 04:15:18.39"
"4102";"AGRUPACION VECINAL OROTAVA CA";"CALLE";"MAZO";"4";"3º- PUERTA DERECHA";"28017";"MADRID";"PUEBLO NUEVO";"2022-03-29";"605948150";"avorotava@gmail.com";"https://sites.google.com/view/avorotava/inicio?authuser=1";"VECINALES";"BARRIO";"4";;"2025-12-31 04:15:18.39"
"4103";"PLATAFORMA CONTRA LA CORRUPCION EN ADULTOS TUTELADOS";"CALLE";"DOCTOR CASAL";"21";"3º- IZQUIERDA";"28008";"MADRID";"CASA DE CAMPO";"2022-03-29";"628439468";"adultostutelados@gmail.com";"";"FAMILIAS";"COMUNIDAD DE MADRID";"4";;"2025-12-31 04:15:18.39"
"4113";"LLAVE 12";"CALLE";"BOTIJO";"3";"";"28023";"MADRID";"ARAVACA";"2022-04-21";"609089235";"frpcruz@telefonica.net";"";"CULTURALES Y CASAS REGIONALES";"SIN DETERMINAR";"10";;"2025-12-31 04:15:18.39"
"4119";"ASOCIACION DE PROFESIONALES DE RADIO Y TELEVISION DE MADRID";"CALLE";"EVARISTO SAN MIGUEL";"8";"";"28008";"MADRID";"ARGUELLES";"2022-05-10";"689522586";"prensa@federacionartv.com";"";"DE COMUNICACION";"COMUNIDAD DE MADRID";"320";;"2025-12-31 04:15:18.39"
"4132";"PLATAFORMA DE AYUDA A LOS NECESITADOS DE ARGANZUELA";"PASEO";"SANTA MARIA DE LA CABEZA";"92";"1 º G- 28045- MADRID";"28045";"MADRID";"ACACIAS";"2022-06-13";"622287078";"luis.miguel.ibanez.bravo@hotmail.com";"";"VECINALES";"BARRIO";"4";;"2025-12-31 04:15:18.39"
"4160";"QUEDAMOS A TOCAR";"CALLE";"SAN JUAN DE ORTEGA";"10";"PORTAL C";"28050";"MADRID";"VALVERDE";"2022-07-21";"607963471";"qatquedamosatocar@gmail.com";"";"OTRAS DE ACCION SOCIAL";"BARRIO";"4";;"2025-12-31 04:15:18.39"
"4206";"PLATAFORMA STOP MADCOOL VILLAVERDE";"CALLE";"TRANSVERSAL SEXTA";"32";"2F";"28021";"MADRID";"VILLAVERDE ALTO C.H.";"2022-12-29";"649784023";"stopmadcoolvillaverde@gmail.com";"";"VECINALES";"BARRIO";"4";;"2025-12-31 04:15:18.39"
"4278";"ACCION FEMINISTA";"PASEO";"JUAN ANTONIO VALLEJO-NAJERA BOTAS";"29";"A";"28005";"MADRID";"ACACIAS";"2023-05-25";"639189988";"ACCIONFEMINISTA.ACTIVISMO@GMAIL.COM";"";"DE MUJERES";"MUNICIPIO";"4";;"2025-12-31 04:15:18.39"
"4325";"STOP TORRES CARCAVAS";"CALLE";"MAESTRA DOLORES MARCO";"14";"BAJO - A";"28055";"MADRID";"VALDEFUENTES";"2023-12-28";"669146000";"alberto.pieltain@upm.es";"";"VECINALES";"DISTRITO";"4";;"2025-12-31 04:15:18.39"
"4374";"ABIERTO HASTA EL AMANECER S. COOP. MAD.";"CALLE";"PUERTO DE VIÑAMALA";"15";"";"28018";"MADRID";"PALOMERAS BAJAS";"2024-03-14";"675918852";"abierto@abiertomadrid.coop";"";"OTRAS DE ACCION SOCIAL";"COMUNIDAD DE MADRID";"4";;"2025-12-31 04:15:18.39"
"4381";"CORO BRISA DE COLORES";"AVENIDA";"AURORA BOREAL";"37";"4º A";"28032";"MADRID";"VALDERRIVAS         ";"2024-04-15";"610265818";"mpoppinspp@hotmail.com";"";"CULTURALES Y CASAS REGIONALES";"MUNICIPIO";"3";;"2025-12-31 04:15:18.39"
"4397";"DANZA MODERNA, JAZZ Y BAILES EN PAREJA DISTRITO RETIRO";"CALLE";"ADELFAS";"4";"";"28007";"MADRID";"ADELFAS";"2024-05-07";"695325162";"irene.luna.privado@gmail.com";"";"DE ESTUDIANTES /ALUMNADO";"DISTRITO";"3";;"2025-12-31 04:15:18.39"
"4479";"HARMONYQAT";"CALLE";"SAN JUAN DE ORTEGA";"10";"";"28050";"MADRID";"VALVERDE            ";"2024-11-15";"607963471";"NAUTILUIS@GMAIL.COM";"";"CULTURALES Y CASAS REGIONALES";"MUNICIPIO";"4";;"2025-12-31 04:15:18.39"
"4604";"LA HUERTA DE TETUAN";"CALLE";"MATADERO";"14";"1ºA";"28039";"MADRID";"VALDEACEDERAS";"2025-10-08";"";"lahuertadetetuan@gmail.com";"Página web: https://huerta.labroma.org/";"VECINALES";"MUNICIPIO";"10";;"2025-12-31 04:15:18.39"
"4613";"PLATAFORMA CIVICA VECINAL GRAN ARAVACA (PCVGA)";"CALLE";"BLANCA DE CASTILLA";"7";"PORTAL B, BAJO C";"28023";"MADRID";"VALDEMARIN";"2025-11-19";"625435804";"isabel.saracho@gmail.com";"";"VECINALES";" ";"11";;"2025-12-31 04:15:18.39"
