hex_id,tipologia_train
89390ca34afffff,1
89390cb1b43ffff,0
89390ca048fffff,1
89390ca0073ffff,1
89390cb0ad3ffff,0
89390cb1bcfffff,0
89390ca20afffff,1
89390ca340bffff,0
89390cb0a2fffff,0
89390ca2687ffff,1
89390cb196fffff,1
89390ca3497ffff,0
89390ca3573ffff,1
89390ca2427ffff,1
89390cb1b2bffff,1
89390cb0abbffff,1
89390cb191bffff,1
89390ca2217ffff,1
89390ca3523ffff,1
89390cb085bffff,1
89390cb1bb7ffff,1
89390cb1d37ffff,0
89390ca2097ffff,1
89390cb0e33ffff,1
89390cb0a17ffff,0
89390ca266fffff,1
89390cb1d73ffff,0
89390cb1957ffff,1
89390ca3193ffff,1
89390ca2123ffff,1
89390cb1827ffff,1
89390cb0bd3ffff,1
89390cb1b13ffff,0
89390ca0043ffff,1
89390cb0aa3ffff,1
89390ca0397ffff,1
89390ca25cbffff,1
89390ca249bffff,0
89390ca00cfffff,1
89390ca2347ffff,1
89390ca236bffff,1
89390cb1a6fffff,0
89390ca03bbffff,1
89390ca2657ffff,1
89390ca223bffff,1
89390cb5353ffff,1
89390ca3467ffff,0
89390ca015bffff,1
89390ca002bffff,1
89390cb19cbffff,1
89390ca00abffff,1
89390cb082bffff,1
89390ca2483ffff,0
89390cb1b87ffff,1
89390ca2353ffff,1
89390ca03a3ffff,1
89390cb1b7bffff,0
89390ca2223ffff,1
89390ca344fffff,0
89390ca0143ffff,1
89390ca0013ffff,0
89390cb0e8fffff,1
89390cb0a73ffff,0
89390ca26cbffff,1
89390cb53c7ffff,1
89390cba96fffff,0
89390ca246bffff,1
89390cb1b6fffff,0
89390ca04bbffff,1
89390cba97bffff,0
89390ca3697ffff,0
89390cb1d2bffff,0
89390ca3437ffff,1
89390cb0e77ffff,1
89390ca26b3ffff,1
89390ca2167ffff,1
89390cb186bffff,1
89390ca05d3ffff,1
89390cb1b57ffff,0
89390ca260fffff,1
89390ca20c3ffff,1
89390ca23afffff,1
89390ca26d7ffff,1
89390ca2ed3ffff,1
89390cb0a43ffff,1
89390ca269bffff,1
89390ca35dbffff,1
89390ca214fffff,1
89390ca34abffff,1
89390ca308fffff,1
89390cb0acfffff,1
89390ca230bffff,1
89390ca3537ffff,1
89390cb086fffff,1
89390ca24c7ffff,0
89390ca20abffff,1
89390ca3407ffff,1
89390cb0b5bffff,1
89390ca2683ffff,1
89390cb196bffff,1
89390ca35c3ffff,1
89390ca2553ffff,1
89390ca2137ffff,1
89390cb183bffff,1
89390ca3493ffff,1
89390ca2c5bffff,1
89390ca2423ffff,1
89390cb1b27ffff,1
89390ca2007ffff,1
89390cb0ab7ffff,1
89390ca014fffff,1
89390cb1bb3ffff,1
89390ca2093ffff,1
89390ca345bffff,0
89390cb0e2fffff,1
89390cb0a13ffff,1
89390ca266bffff,1
89390cb1d6fffff,0
89390cb1953ffff,1
89390cb1823ffff,1
89390cba90fffff,0
89390ca347bffff,0
89390ca016fffff,1
89390cb1b0fffff,0
89390cb0ebbffff,1
89390ca22dbffff,1
89390ca21abffff,1
89390ca2497ffff,0
89390cb1b9bffff,0
89390ca00cbffff,1
89390ca2367ffff,1
89390ca03b7ffff,1
89390cb0e17ffff,1
89390ca0edbffff,1
89390cb193bffff,0
89390ca3593ffff,1
89390cb1933ffff,0
89390ca3463ffff,0
89390ca222fffff,1
89390ca0027ffff,1
89390ca22c3ffff,1
89390ca0ed3ffff,1
89390cb19c7ffff,1
89390cb1b83ffff,0
89390ca2e83ffff,1
89390cb0e0fffff,1
89390ca234fffff,1
89390ca36abffff,1
89390ca0ec3ffff,1
89390ca357bffff,1
89390ca03afffff,1
89390ca344bffff,0
89390ca000fffff,1
89390ca26c7ffff,1
89390ca22abffff,1
89390cb19afffff,0
89390ca217bffff,1
89390ca30bbffff,1
89390cb1b6bffff,0
89390ca04b7ffff,1
89390ca009bffff,0
89390ca3693ffff,0
89390ca0387ffff,1
89390cb1d27ffff,0
89390ca2207ffff,1
89390cb190bffff,1
89390ca3563ffff,1
89390ca00c3ffff,1
89390ca20d7ffff,1
89390ca3433ffff,1
89390cb0a57ffff,1
89390ca2163ffff,1
89390cb1867ffff,1
89390cb1b93ffff,1
89390ca244fffff,1
89390cb1b53ffff,0
89390cb514bffff,0
89390ca260bffff,1
89390cb1d0fffff,0
89390ca354bffff,1
89390ca24dbffff,0
89390ca341bffff,0
89390ca2697ffff,1
89390ca34a7ffff,0
89390cb1b3bffff,0
89390ca201bffff,1
89390cb0acbffff,0
89390cb086bffff,1
89390ca24c3ffff,0
89390cb1bc7ffff,0
89390ca3403ffff,1
89390cb0a27ffff,0
89390cb1967ffff,1
89390ca2133ffff,1
89390cb1837ffff,1
89390ca0323ffff,1
89390ca348fffff,1
89390cb1b23ffff,1
89390ca2003ffff,1
89390ca046fffff,0
89390ca0053ffff,1
89390cb0ab3ffff,1
89390ca22d3ffff,1
89390cb0853ffff,1
89390cb1bafffff,0
89390ca208fffff,1
89390ca237bffff,1
89390ca36d7ffff,0
89390cb0a0fffff,0
89390cb0a97ffff,1
89390cb194fffff,1
89390ca211bffff,1
89390cba90bffff,0
89390ca3477ffff,0
89390ca0037ffff,1
89390ca016bffff,1
89390cb0bcbffff,1
89390cb1b0bffff,0
89390ca003bffff,1
89390cb0a9bffff,0
89390ca22d7ffff,1
89390ca3633ffff,1
89390cb1b07ffff,0
89390ca2493ffff,0
89390cb1b97ffff,1
89390ca2363ffff,1
89390cb1a67ffff,0
89390ca03b3ffff,1
89390cb0e13ffff,1
89390ca2e87ffff,1
89390ca0ed7ffff,1
89390cb522fffff,1
89390ca2233ffff,1
89390cb1937ffff,0
89390cb1807ffff,1
89390ca0153ffff,1
89390ca0023ffff,1
89390ca26dbffff,1
89390cb19c3ffff,1
89390ca3473ffff,0
89390ca218fffff,1
89390ca247bffff,1
89390ca2117ffff,1
89390ca00afffff,1
89390ca234bffff,1
89390cb1a4fffff,0
89390cb1d3bffff,0
89390ca3447ffff,0
89390ca000bffff,1
89390cb0a6bffff,0
89390ca26c3ffff,1
89390cb19abffff,0
89390cb187bffff,1
89390cba967ffff,0
89390ca35a3ffff,1
89390cb080bffff,1
89390ca2463ffff,1
89390cb194bffff,1
89390ca0383ffff,1
89390cb1d23ffff,0
89390cb1d67ffff,0
89390ca2203ffff,1
89390ca2663ffff,1
89390cb1907ffff,0
89390cb531bffff,1
89390ca342fffff,1
89390cb0a53ffff,1
89390ca26abffff,1
89390cb1dafffff,0
89390ca2e9bffff,1
89390cb0e27ffff,1
89390cb1863ffff,1
89390cba94fffff,0
89390ca34bbffff,1
89390ca2c83ffff,1
89390ca244bffff,1
89390cb1b4fffff,0
89390cb5147ffff,0
89390ca2607ffff,1
89390ca3547ffff,1
89390cb1a7bffff,0
89390cb5303ffff,1
89390ca20bbffff,1
89390ca3417ffff,1
89390ca23a7ffff,1
89390ca2693ffff,1
89390cb197bffff,1
89390ca35d3ffff,0
89390cb538fffff,1
89390ca34a3ffff,0
89390ca3087ffff,1
89390cb1b37ffff,1
89390ca2017ffff,1
89390ca0483ffff,1
89390ca00dbffff,1
89390ca0067ffff,1
89390cb0ac7ffff,1
89390ca352fffff,1
89390cb0867ffff,1
89390ca208bffff,1
89390cb1babffff,0
89390cb0a23ffff,0
89390ca267bffff,1
89390cb1963ffff,1
89390ca35bbffff,1
89390ca254bffff,1
89390cb084fffff,1
89390ca212fffff,1
89390cb1833ffff,1
89390ca241bffff,0
89390cb0aafffff,1
89390ca21bbffff,1
89390cb180fffff,1
89390ca3533ffff,1
89390ca353bffff,1
89390ca3507ffff,1
89390ca3517ffff,1
89390ca35abffff,1
89390cba93bffff,0
89390cba923ffff,0
89390cba927ffff,0
89390ca3443ffff,0
89390cba92bffff,0
89390cba977ffff,0
89390cba907ffff,0
89390cba943ffff,0
89390cba957ffff,0
89390ca30cbffff,1
89390ca30dbffff,1
89390ca30c3ffff,1
89390ca30cfffff,1
89390ca30d7ffff,1
89390ca30c7ffff,1
89390ca30d3ffff,1
89390ca36a7ffff,1
89390ca36afffff,1
89390ca3637ffff,1
89390ca301bffff,1
89390cb1997ffff,1
89390cb0a5bffff,1
89390cb1993ffff,0
89390cb199bffff,0
89390cb0a4bffff,1
89390ca3103ffff,1
89390ca311bffff,1
89390ca3117ffff,1
89390ca31abffff,1
89390ca3107ffff,1
89390ca310fffff,1
89390ca3177ffff,1
89390ca312bffff,1
89390ca313bffff,1
89390ca3173ffff,1
89390ca3167ffff,1
89390ca0693ffff,1
89390ca312fffff,1
89390ca045bffff,1
89390ca3127ffff,1
89390ca20b3ffff,1
89390ca20a3ffff,1
89390cb0e53ffff,1
89390cb0e5bffff,1
89390cb0e57ffff,1
89390cb0e0bffff,1
89390cb0cdbffff,1
89390cb0cc3ffff,1
89390cb0cc7ffff,1
89390cb0c13ffff,1
89390cb0c8fffff,1
89390cb0c87ffff,1
89390cb0c07ffff,1
89390cb0c0fffff,1
89390cb0c3bffff,1
89390cb0c33ffff,1
89390cb0cabffff,1
89390cb0c67ffff,0
89390cb0c63ffff,0
89390cb0c6fffff,0
89390cb0dcfffff,1
89390cb0dc7ffff,1
89390cb0d1bffff,1
89390cb0d57ffff,1
89390cb0d0bffff,1
89390cb0d43ffff,1
89390cb0d5bffff,1
89390cb0d53ffff,1
89390cb0c27ffff,1
89390cb0dcbffff,1
89390cb0dc3ffff,1
89390cb0d8fffff,1
89390cb0d13ffff,1
89390cb0d17ffff,1
89390cb0d03ffff,1
89390cb0d73ffff,1
89390cb0d0fffff,1
89390cb0d47ffff,1
89390cb0d7bffff,1
89390cb0d4fffff,1
89390cb08b3ffff,1
89390cb0d4bffff,1
89390cb0dd7ffff,1
89390cb0dd3ffff,1
89390cb2b6fffff,1
89390cb0d9bffff,1
89390cb0d8bffff,1
89390ca0087ffff,0
89390ca008fffff,0
89390ca0083ffff,0
89390ca056bffff,1
89390ca00a7ffff,1
89390ca01d3ffff,1
89390ca01dbffff,1
89390ca00a3ffff,1
89390ca00b7ffff,1
89390ca057bffff,1
89390ca054fffff,1
89390ca00b3ffff,1
89390ca05b3ffff,0
89390ca0587ffff,0
89390ca2e4bffff,0
89390ca2e4fffff,0
89390ca05b7ffff,0
89390ca05a3ffff,0
89390ca05bbffff,0
89390ca232fffff,0
89390ca0593ffff,0
89390ca2327ffff,1
89390ca2e43ffff,1
89390ca0517ffff,1
89390ca0503ffff,1
89390ca0507ffff,1
89390ca05abffff,1
89390ca05a7ffff,1
89390ca213bffff,1
89390ca2177ffff,1
89390ca210fffff,1
89390cb502fffff,1
89390cb502bffff,1
89390cb5023ffff,1
89390cb0b2fffff,1
89390ca2593ffff,1
89390ca24afffff,1
89390ca24abffff,1
89390ca2433ffff,1
89390ca24a3ffff,1
89390ca149bffff,0
89390ca1483ffff,0
89390ca3227ffff,1
89390ca335bffff,1
89390ca322fffff,1
89390ca3223ffff,1
89390ca322bffff,1
89390ca323bffff,1
89390cb898fffff,0
89390cb898bffff,0
89390cb8983ffff,0
89390cb8987ffff,0
89390cb89bbffff,0
89390cb89a3ffff,0
89390cb89b3ffff,0
89390ca3277ffff,1
89390ca3267ffff,1
89390ca3263ffff,1
89390ca326fffff,1
89390ca326bffff,1
89390ca327bffff,1
89390ca3273ffff,1
89390ca320fffff,1
89390ca320bffff,1
89390ca3247ffff,1
89390ca3207ffff,1
89390ca32abffff,1
89390ca214bffff,1
89390ca2147ffff,1
89390ca2143ffff,1
89390ca2153ffff,1
89390ca2e5bffff,1
89390cba87bffff,1
89390cba84fffff,1
89390cbaab7ffff,1
89390cba86bffff,1
89390cbaab3ffff,1
89390cba84bffff,1
89390cbaa97ffff,1
89390cbaa83ffff,1
89390cbaa87ffff,1
89390cbaaa7ffff,1
89390cb1d8bffff,1
89390cb1d17ffff,1
89390cb0e9bffff,0
89390cb0e93ffff,0
89390cb0e83ffff,0
89390ca2c93ffff,1
89390cb1987ffff,1
89390cb198fffff,1
89390ca2243ffff,0
89390ca2257ffff,0
89390ca2253ffff,0
89390ca225bffff,0
89390ca224bffff,0
89390ca3197ffff,0
89390ca3183ffff,0
89390ca318bffff,0
89390ca0597ffff,0
89390ca248bffff,0
89390cb0c77ffff,0
89390cb09cfffff,1
89390cb09cbffff,1
89390cb09c3ffff,1
89390cb09c7ffff,1
89390cb09d7ffff,1
89390cb091bffff,1
89390cb099bffff,1
89390cb0993ffff,1
89390cb0d67ffff,1
89390cb08a7ffff,1
89390cb09d3ffff,1
89390cb0957ffff,1
89390cb5413ffff,1
89390cb5417ffff,1
89390cb5403ffff,1
89390cb5407ffff,1
89390cb543bffff,1
89390cb5477ffff,1
89390cb5463ffff,1
89390cb0b3bffff,0
89390cb1a0fffff,0
89390cb1a0bffff,0
89390cba997ffff,0
89390cba983ffff,0
89390cba99bffff,0
89390cb1a3bffff,0
89390cb1bc3ffff,0
89390ca3187ffff,0
89390ca31b3ffff,0
